mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,Activity
-2.9916189036000005,2.9367088703126063,-2.9841944500000004,4.186994310768137,-7.299869866835,3.41464885432127,-7.441924650000001,8.055409842897605,-1.8171252756999998,5.7307692343672425,-2.68840935,5.998287397671944,hand_wash
-3.5734829096599996,2.9692945024431885,-3.2937507,4.641379794701167,-7.883003217634999,3.3002622356885536,-8.151449,8.542775421339028,-1.4799125299499998,5.482825582080029,-2.40699475,5.6657930228694955,hand_wash
-3.6008939123065,3.2360850696938064,-3.5637891,4.835940685439566,-8.184488270500001,2.6739645553236953,-8.1520475,8.60814638937233,-3.66509837065,4.320787571962055,-3.67156495,5.6576324803183295,hand_wash
-3.2582384606465,2.3835655815151817,-3.2889606000000002,4.03349672411085,-7.770407349499999,1.9278731920189693,-7.7927947,8.004832412139963,-3.7964891429,3.858936300293461,-3.9422021999999997,5.406501848240834,hand_wash
-2.94216174365,1.8654292714394796,-2.8261231,3.481198494873155,-7.752169288999999,1.9316485263374104,-7.482041150000001,7.988037204749972,-3.272512768975,4.1582945506281215,-3.2314801500000003,5.283398179679347,hand_wash
-2.8188900972435,2.180294609317156,-2.4315436000000004,3.5603451434991285,-8.020387524895,2.7983622351948334,-7.7544744,8.492249000874807,-0.8437953111450001,4.910973933638461,0.07723938,4.970821579890222,hand_wash
-2.9504485204435,2.679058016029264,-2.58602225,3.980780270973473,-8.201439035895,2.697170716981643,-8.1155235,8.631451702156646,-0.9859816517199999,5.149226838310016,-0.76640628,5.230117031648412,hand_wash
-2.96461505734,3.013237390718586,-2.76205635,4.221746559561278,-8.218814911,2.0790288529784497,-8.3382605,8.476418330163705,-3.1759934992500005,4.7519018810475036,-3.4380505,5.705664145123295,hand_wash
-3.06546932064,2.6560688366768708,-2.8764184999999998,4.05173176711209,-7.3993350333,2.6875227453439754,-7.463479850000001,7.8699951428973725,-2.4837370639500005,5.255684835222211,-3.02910085,5.8011259057693065,hand_wash
-3.08579704152,2.4289280167251954,-2.9201276500000004,3.923306798522646,-7.7663178857999995,2.720064622880157,-7.92511965,8.226630616368887,-1.9356847500400003,5.1203747675571005,-2.06450695,5.462052912868171,hand_wash
-3.0192873518199996,2.3569921625086594,-2.8428882499999997,3.8267128330614044,-8.1417251855,2.0021813771182715,-8.1113325,8.383100596542416,-3.5363840740900003,4.193701351892012,-3.8535863,5.477700949595001,hand_wash
-2.9936486831400004,2.399868466695661,-3.01652705,3.8330802564280906,-7.652105357,2.143491774807905,-7.428153050000001,7.945206139449995,-4.3133703055499995,4.218694790536521,-4.7062135000000005,6.026073530900696,hand_wash
-2.9993967230800003,3.0645832410407934,-3.2093263,4.282650206529223,-8.0653899685,2.4458237286126567,-7.9454772,8.42630754167375,-3.4549354058199997,4.933205434726285,-4.0523729500000005,6.012604422402616,hand_wash
-3.0389624438,2.9526238241248848,-3.0722114,4.231984197085662,-7.825019798,2.6179915612474796,-7.9197308500000005,8.249275438169171,-4.15047303017,4.841603352588208,-5.049300000000001,6.367915183389533,hand_wash
-3.0139165341100007,2.3816206205143358,-2.63871275,3.837635870003879,-7.475053509325001,2.977230951809521,-7.4814425,8.043382969061126,-2.0084633796849998,5.43517995027314,-2.2674848,5.781643393874061,hand_wash
-3.0782108271799995,2.5130838665735737,-3.0692175500000003,3.9698103814160195,-7.884871292625,2.998657913754126,-7.8371025,8.433159837128873,-0.7274093475850001,4.747134377929243,-1.1963123,4.790796670394301,hand_wash
-3.3632600650100004,2.683143111991194,-3.610492,4.298229744850748,-8.1876017858,2.2888631974943725,-7.9975691,8.499971956776992,-3.320293413,3.922863261023054,-3.77275445,5.13188661529775,hand_wash
-3.4464091456799997,2.424336611332551,-3.4596058,4.210196784527881,-7.8735488805,1.822443396081091,-7.794591,8.080684711451301,-4.08105940025,3.7240265264512287,-4.5936475,5.518521317366885,hand_wash
-3.2549393074,2.3555312607238004,-3.16382085,4.014400923861917,-7.604300782,2.159309486383372,-7.3802525,7.903460935173977,-4.330889857779999,4.037104699221749,-4.72357725,5.913825347517258,hand_wash
-3.0023964624,2.5133605621906105,-2.97221925,3.9114934393948895,-7.58928400645,3.201255102964185,-7.303611999999999,8.233712758752318,-2.06756047853,5.59729111937712,-1.99086,5.953807678121782,hand_wash
-3.16341962118,2.9778370174028654,-3.1159203,4.339400815247462,-7.965002687449999,3.3519768783050052,-7.86763935,8.638335375453632,-1.4113371150465002,5.740800234196882,-1.2226575,5.897785672997788,hand_wash
-3.2753329157115,3.003087446485223,-3.34763845,4.4386087064444135,-8.380424802,2.382479951912034,-8.2622185,8.710875359551025,-3.2145772679965,4.659653349669308,-3.6146833000000003,5.651310866012311,hand_wash
-2.9945048892715,2.53716853123125,-2.9015663,3.9207266631278577,-7.740571403699999,2.7148859939900425,-7.9478724,8.20062184144225,-3.857334674,4.746131640292069,-4.6104126999999995,6.106731327517959,hand_wash
-2.8711015040400003,2.477544717849537,-2.65607665,3.788239767530584,-7.565303874399999,3.0494228581074743,-7.7155555,8.153913635839066,-2.3023682183,5.3733425174294345,-2.58422605,5.833467679965728,hand_wash
-3.090407461965,2.425965700737589,-2.93928775,3.925111630797065,-7.8748122592000005,2.4531248969925903,-8.149054,8.246235551394967,-2.31007415915,4.527078104617415,-2.50938165,5.072317675900481,hand_wash
-3.4916750169650004,2.01328665534364,-3.54822135,4.028008312416868,-7.164072264500001,1.723839695469784,-7.15092965,7.367543456958847,-5.26544445955,3.452462598245784,-5.33490585,6.291645719438627,hand_wash
