mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-2.9780511176889997,2.8136205781626673,-8.179933755930001,2.5625102296741242,-1.8224502041799997,5.061860367739412,hand_wash
-3.0089708145933334,2.757432804009487,-7.699792230866667,2.477243457595534,-2.6080246057666665,5.177232135732003,hand_wash
-3.0682834650733333,2.6580440238411542,-7.8898529892,2.5843175902954667,-2.45558560306,4.9561668905470295,hand_wash
-3.0454190109133332,2.292450315996313,-7.648399080533333,2.4240040958124487,-2.848284988993333,4.876795237433088,hand_wash
-3.0204030400733335,2.4908848335553593,-8.058366538333333,2.1858304806780744,-3.67534109746,4.340500761097534,hand_wash
-2.9878187986199998,2.7525295461133785,-7.847780468999999,2.236075097369497,-3.8611187595133334,4.603321898938805,hand_wash
-3.03351976806,2.8826068184554883,-7.847229613333334,2.5804060628578473,-4.084733734846666,4.76508205056079,hand_wash
-3.001330699266667,2.7420061849532154,-7.729745903883335,2.809775865275587,-2.32451414227,5.36625478321859,hand_wash
-3.0860625041266667,2.50198292905333,-7.726883829416669,2.9353565000779387,-2.266383029356667,5.046183872758626,hand_wash
-3.2175291134066666,2.5588238230257097,-7.971467229083334,2.6259302998941734,-1.7710610641566666,4.643622710154599,hand_wash
-3.3743909118400004,2.529132969328752,-7.9925474102,2.1974035023305007,-3.6481137097333334,3.908395256091445,hand_wash
-3.33534810022,2.451751325620846,-7.784420221999999,2.0159787556135065,-4.173381404286666,3.908480324381833,hand_wash
-3.133815176766667,2.4173791717212545,-7.593668890633333,2.8436096485178575,-2.8129584200866664,5.17535424823868,hand_wash
-3.14668841722,2.8243520965372366,-7.845389426633334,3.0568637305696065,-2.3935665474843333,5.4680386133282735,hand_wash
-3.147410915641,2.8559742097011127,-8.111084903966667,2.984302442618939,-2.068750026897667,5.329040323259986,hand_wash
-3.141427368467667,2.838754978181077,-7.946247691466667,2.7170954928554525,-3.5867493444643332,4.896288865485719,hand_wash
-2.9525321708809997,2.520495925206317,-7.8446190286,2.780426899120162,-2.6627707623999997,5.007389184556609,hand_wash
-3.0181437326366667,2.4387915254162302,-7.609172662933333,2.715379918911894,-2.9837472719,4.8780941968645735,hand_wash
-3.283978922676667,2.2021168663484585,-7.460286269133333,2.2265154137164664,-3.6015106194333337,4.550525889373366,hand_wash
-3.286182339776666,2.3516151530386433,-7.5633359890000005,2.5360966474088484,-3.4297757417599994,4.472643043961009,hand_wash
-3.2593860575866667,2.699006088038802,-7.804737957533333,2.8675795587309465,-2.9692773559933334,4.837689332568641,hand_wash
-3.0007638685433338,3.1318994145223575,-8.193018519533334,2.9115009396535187,-2.27300124276,4.997003449787928,hand_wash
-3.1511910614099996,2.828167769162462,-7.624480781866666,2.458729369564231,-4.4809138799333335,4.704415656834105,hand_wash
-3.0614217429566666,2.4387877175824264,-7.501141277999999,2.2620419291436904,-3.4994388774653333,4.967228937710211,hand_wash
-3.0612700673999997,2.396515904767748,-7.609587770333334,2.4796379753656486,-3.1051108994753336,5.025393382107723,hand_wash
-3.0965447102000003,2.4856978750063843,-7.964150468,2.305222310298329,-2.5508914095753337,4.634452727502407,hand_wash
-3.2436188578,2.4851926743803707,-7.776676337333333,2.17289012271188,-4.086482124843334,4.241994317294082,hand_wash
-3.3117651406333333,2.193506515521685,-7.866569381,1.8578190293073709,-3.8860589050566667,3.992179772815734,hand_wash
-3.156408203466667,2.1870763899908616,-7.669734710433333,2.4762637969885226,-2.8471632938900004,5.020121588994893,hand_wash
-3.1442894025439996,2.395989771834456,-7.841433671933332,2.65446018800353,-2.4191214019566667,4.976128644711483,hand_wash
-3.2252849724106665,2.1042716441517677,-7.201719970266666,2.9295203574630193,-3.7975229957,4.863108778874051,hand_wash
